grid_y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63
30,327.393206,327.405724,327.437098,327.485250,327.549221,327.624979,327.703431,327.779041,327.851083,327.919240,327.981812,328.037813,328.086380,328.127524,328.163442,328.195258,328.222733,328.245585,328.262661,328.273743,328.278981,328.277992,328.269511,328.254303,328.232520,328.204092,328.169216,328.127945,328.079798,328.025248,327.965841,327.901573,327.834267,327.763644,327.690970,327.617761,327.544077,327.470299,327.395414,327.320501,327.244676,327.168338,327.092478,327.016996,326.942162,326.868918,326.797643,326.728783,326.662107,326.596884,326.533938,326.472181,326.411651,326.355265,326.309782,326.275349,326.246946,326.223584,326.203545,326.186395,326.172781,326.162197,326.153598,326.149127
31,327.312869,327.324261,327.353222,327.398075,327.458062,327.529552,327.603060,327.673528,327.740160,327.802746,327.859843,327.910450,327.954278,327.991684,328.024162,328.053015,328.078076,328.099213,328.114973,328.125185,328.130894,328.131356,328.124367,328.111165,328.091481,328.065158,328.032915,327.994918,327.950630,327.900420,327.845723,327.786626,327.724426,327.659183,327.591636,327.523623,327.455165,327.386405,327.316881,327.247098,327.175853,327.103728,327.031783,326.959677,326.888108,326.818568,326.750566,326.684526,326.620383,326.558010,326.497849,326.439094,326.381829,326.328630,326.285422,326.251673,326.223543,326.200845,326.181964,326.165839,326.152890,326.143191,326.135590,326.131659
32,327.230117,327.240582,327.267544,327.309304,327.365025,327.431727,327.500595,327.566825,327.628921,327.686723,327.738968,327.784781,327.824215,327.857522,327.886325,327.912383,327.935609,327.955380,327.970065,327.979664,327.986089,327.988481,327.984036,327.973095,327.955902,327.932362,327.902546,327.867301,327.826583,327.780715,327.730302,327.675859,327.617944,327.557119,327.494290,327.430777,327.366629,327.302423,327.237905,327.172855,327.105961,327.037793,326.969347,326.900573,326.832303,326.765796,326.700827,326.637808,326.576247,326.516680,326.459110,326.403742,326.350190,326.300862,326.260185,326.226588,326.198530,326.175917,326.157483,326.142148,326.129957,326.120901,326.114000,326.110392
33,327.145546,327.155286,327.180405,327.218980,327.270062,327.331370,327.395367,327.457301,327.515383,327.569358,327.617560,327.659194,327.694214,327.723281,327.748559,327.772208,327.794311,327.813779,327.828743,327.838840,327.846332,327.850729,327.848811,327.839957,327.825122,327.804291,327.777078,327.744454,327.707220,327.665737,327.619334,327.568414,327.513843,327.457036,327.398777,327.339793,327.279817,327.220129,327.159924,327.098428,327.035045,326.970330,326.905084,326.839566,326.774283,326.710449,326.648499,326.588207,326.529288,326.472600,326.417715,326.365674,326.315893,326.270250,326.231223,326.197806,326.170617,326.148077,326.129768,326.115154,326.103609,326.095164,326.088710,326.085153
34,327.060385,327.069405,327.092424,327.127552,327.173717,327.229043,327.287785,327.345591,327.400123,327.450556,327.495405,327.533224,327.563949,327.589094,327.611471,327.633848,327.656040,327.676436,327.692947,327.704528,327.713310,327.719468,327.719739,327.713299,327.700954,327.682621,327.658051,327.628266,327.594285,327.556221,327.513127,327.465571,327.414727,327.362127,327.307500,327.251836,327.195354,327.139334,327.082713,327.024473,326.964205,326.902431,326.840061,326.777586,326.715064,326.653905,326.594370,326.536364,326.480266,326.426028,326.373822,326.324546,326.277802,326.235309,326.197675,326.165289,326.138979,326.116793,326.099192,326.085113,326.073809,326.065833,326.059753,326.056435
35,326.975691,326.983902,327.004535,327.036000,327.076940,327.125450,327.178315,327.232074,327.283612,327.330478,327.371813,327.406200,327.433717,327.456709,327.478334,327.500985,327.524219,327.546232,327.564439,327.577759,327.588382,327.596293,327.598100,327.593376,327.583286,327.567643,327.546133,327.519701,327.488825,327.453402,327.412826,327.368335,327.320794,327.270799,327.218599,327.165990,327.113204,327.060452,327.006592,326.951032,326.893514,326.834481,326.774720,326.714875,326.654776,326.596128,326.539212,326.483378,326.429370,326.377363,326.327863,326.280772,326.236507,326.196262,326.159893,326.129184,326.103875,326.082715,326.065555,326.051761,326.040788,326.032799,326.026743,326.023453
36,326.891706,326.899128,326.917441,326.945304,326.981398,327.023695,327.070661,327.119769,327.167572,327.210776,327.248419,327.279718,327.305624,327.328692,327.351494,327.375607,327.400514,327.424272,327.444170,327.459454,327.471636,327.480637,327.483456,327.480205,327.471881,327.458495,327.439900,327.416462,327.388222,327.355194,327.317001,327.274915,327.229923,327.182390,327.133130,327.083772,327.033790,326.983012,326.931122,326.877889,326.823055,326.766807,326.709560,326.651894,326.594108,326.537767,326.483033,326.429327,326.377202,326.327277,326.279871,326.234620,326.192845,326.154656,326.119802,326.090162,326.065322,326.045458,326.028994,326.015711,326.005097,325.997064,325.990706,325.986969
37,326.808420,326.815241,326.831654,326.856271,326.888085,326.925495,326.967307,327.011321,327.054174,327.093249,327.127623,327.156796,327.182321,327.206497,327.231250,327.257466,327.284572,327.310223,327.331807,327.348837,327.362020,327.371546,327.374980,327.373048,327.366372,327.354948,327.338791,327.317844,327.292105,327.261471,327.225775,327.185662,327.142500,327.098044,327.051904,327.004381,326.955999,326.906881,326.857353,326.806718,326.754259,326.699940,326.644607,326.589150,326.533857,326.479815,326.426851,326.375447,326.325348,326.276674,326.230613,326.187212,326.147594,326.110815,326.077737,326.049520,326.025262,326.005863,325.989750,325.976554,325.966056,325.958315,325.952186,325.948450
38,326.726050,326.732438,326.747560,326.769698,326.798126,326.831327,326.868065,326.906469,326.944428,326.979899,327.011876,327.039759,327.065621,327.091337,327.117995,327.146082,327.175089,327.202022,327.224573,327.242854,327.257006,327.267036,327.271199,327.270467,327.265749,327.256529,327.242563,327.223882,327.200492,327.171976,327.138289,327.099912,327.058546,327.016336,326.972492,326.926702,326.880869,326.834473,326.787073,326.737921,326.686679,326.633963,326.580605,326.527476,326.474354,326.422630,326.371842,326.322211,326.273443,326.226397,326.181975,326.139680,326.100855,326.065446,326.034571,326.007648,325.983969,325.964277,325.948296,325.935262,325.924653,325.916753,325.911122,325.907772
39,326.644703,326.650844,326.664963,326.684855,326.710293,326.739414,326.771295,326.804981,326.839134,326.871940,326.902623,326.930106,326.956535,326.983505,327.011533,327.040876,327.071036,327.098564,327.121621,327.140864,327.156357,327.166971,327.171455,327.171706,327.169311,327.162461,327.150439,327.133633,327.112273,327.085811,327.054420,327.018620,326.979467,326.938327,326.896040,326.852961,326.809632,326.764850,326.718367,326.670422,326.620596,326.569561,326.517876,326.466641,326.415876,326.366358,326.317167,326.268736,326.221653,326.176869,326.133412,326.091281,326.053016,326.019327,325.990374,325.964167,325.941522,325.921939,325.905436,325.891512,325.880892,325.873006,325.867609,325.864405
40,326.561602,326.568033,326.582087,326.600552,326.622790,326.647868,326.676062,326.706485,326.737863,326.769048,326.799277,326.827369,326.854891,326.882868,326.911453,326.941116,326.971511,326.999222,327.022718,327.043019,327.060089,327.071873,327.077188,327.078353,327.077571,327.072543,327.062237,327.047141,327.027597,327.003019,326.973800,326.939971,326.902332,326.862663,326.822504,326.782441,326.740888,326.697048,326.651746,326.605296,326.556661,326.506668,326.456550,326.407243,326.358318,326.309825,326.261866,326.215193,326.170374,326.126954,326.084213,326.043534,326.006971,325.974151,325.945376,325.919779,325.897879,325.877898,325.860762,325.846009,325.835480,325.827309,325.821627,325.818404
41,326.475944,326.482939,326.497265,326.514850,326.534896,326.557223,326.582940,326.611394,326.641358,326.671779,326.701622,326.730452,326.759300,326.788238,326.816842,326.845997,326.875587,326.903075,326.927457,326.949325,326.967703,326.980942,326.987916,326.990312,326.990278,326.986497,326.978001,326.964973,326.947263,326.924085,326.896162,326.863425,326.826749,326.788943,326.751300,326.713464,326.673429,326.631177,326.587706,326.542219,326.494445,326.446068,326.397742,326.349374,326.300931,326.253234,326.207514,326.162966,326.119223,326.076189,326.034925,325.996739,325.961248,325.928081,325.898867,325.874134,325.852820,325.832552,325.814953,325.799837,325.788813,325.780039,325.774649,325.771778
42,326.388911,326.396260,326.410823,326.428141,326.447470,326.468436,326.492265,326.519444,326.548615,326.578399,326.607858,326.636807,326.666236,326.695578,326.724453,326.753568,326.782480,326.809951,326.835442,326.858549,326.878050,326.892985,326.902209,326.906761,326.907914,326.905255,326.898148,326.886725,326.870396,326.848403,326.821495,326.789763,326.754933,326.719292,326.683218,326.646559,326.608085,326.567324,326.525001,326.481000,326.434905,326.387694,326.339920,326.291768,326.244081,326.198521,326.154734,326.111072,326.067700,326.025719,325.986546,325.949825,325.914341,325.881421,325.853187,325.828704,325.806526,325.786062,325.767910,325.752738,325.741509,325.732692,325.727946,325.725390
43,326.301044,326.308867,326.323881,326.341402,326.360570,326.380792,326.403008,326.428725,326.456736,326.485806,326.515135,326.544199,326.573605,326.602989,326.632538,326.662602,326.692117,326.720238,326.746658,326.770626,326.791191,326.807946,326.819852,326.827137,326.830393,326.829562,326.823897,326.813537,326.798033,326.776930,326.750771,326.720038,326.687460,326.653704,326.618442,326.582356,326.544823,326.505098,326.463732,326.421854,326.377494,326.330611,326.282931,326.235520,326.189541,326.146133,326.102913,326.059311,326.017060,325.976970,325.938957,325.902002,325.866827,325.835682,325.808623,325.783118,325.759216,325.738925,325.720721,325.705416,325.693939,325.685582,325.681386,325.678977
