workload,signal_path,region,width,toggle_count,value_change_count,candidate_start_ps,candidate_end_ps,refined_start_ps,refined_end_ps,time_steps,last_time_ps,normalized_activity
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_12_9.tile_0_0.mac_unit.io_in_c[31:0],pe_array,32,249,17,0,1030328550,0,128791068,4014,1965000,0.001938527653213752
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.RegShifted_r_687_0[19:0],pe_array,20,248,25,0,1030328550,0,128791068,4014,1965000,0.003089187842551071
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_11_13.tile_0_0.mac_unit.io_in_c[31:0],pe_array,32,247,14,0,1030328550,0,128791068,4014,1965000,0.0019229571499750871
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_7_13.tile_0_0.mac_unit.io_in_c[31:0],pe_array,32,247,13,0,1030328550,0,128791068,4014,1965000,0.0019229571499750871
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.RegShifted_r_641_0[19:0],pe_array,20,245,26,0,1030328550,0,128791068,4014,1965000,0.003051818634778276
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.RegShifted_r_698_0[19:0],pe_array,20,245,26,0,1030328550,0,128791068,4014,1965000,0.003051818634778276
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_12_13.tile_0_0.mac_unit.io_in_c[31:0],pe_array,32,245,14,0,1030328550,0,128791068,4014,1965000,0.0019073866467364225
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.io_acc_write_0_bits_data_11_0[31:0],scratchpad,32,244,18,0,1030328550,0,128791068,4014,1965000,0.0018996013951170902
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_13_13.tile_0_0.mac_unit.io_in_c[31:0],pe_array,32,243,15,0,1030328550,0,128791068,4014,1965000,0.0018918161434977579
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_8_15.tile_0_0.mac_unit.io_out_d[19:0],pe_array,20,243,24,0,1030328550,0,128791068,4014,1965000,0.0030269058295964127
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.io_out_c_13_0[19:0],pe_array,20,242,21,0,1030328550,0,128791068,4014,1965000,0.0030144494270054807
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_15_13.tile_0_0.mac_unit.io_in_c[31:0],pe_array,32,242,17,0,1030328550,0,128791068,4014,1965000,0.0018840308918784256
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_9_15.tile_0_0.mac_unit.io_out_d[19:0],pe_array,20,242,25,0,1030328550,0,128791068,4014,1965000,0.0030144494270054807
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.RegShifted_r_649_0[19:0],pe_array,20,240,23,0,1030328550,0,128791068,4014,1965000,0.0029895366218236174
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_13_15.tile_0_0.mac_unit.io_out_d[19:0],pe_array,20,239,29,0,1030328550,0,128791068,4014,1965000,0.0029770802192326854
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.io_acc_write_0_bits_data_8_0[31:0],scratchpad,32,238,19,0,1030328550,0,128791068,4014,1965000,0.0018528898854010961
